,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Syntrophococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Peptoniphilus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Mogibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Anaerovorax,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Acetobacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succinispira,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XII;g__Fusibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa,k__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__;f__Chloroplast;g__Streptophyta,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter
asd_kang-N01,0.0,0.0006038647342995169,0.0,0.0,0.016304347826086956,0.0,0.0,0.0,0.0006038647342995169,0.014492753623188406,0.0,0.0,0.0,0.00785024154589372,0.0,0.012681159420289856,0.0,0.03985507246376811,0.0,0.0,0.0006038647342995169,0.00785024154589372,0.0,0.0,0.0,0.0,0.0,0.0012077294685990338,0.0,0.0,0.0,0.46497584541062803,0.0006038647342995169,0.0,0.0024154589371980675,0.0018115942028985507,0.0,0.0676328502415459,0.0,0.0,0.0,0.0006038647342995169,0.004227053140096618,0.0,0.0,0.09963768115942029,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.003623188405797101,0.0,0.0006038647342995169
asd_kang-N02,0.0,0.0,0.0,0.0,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.00587248322147651,0.0016778523489932886,0.0,0.0,0.0,0.009228187919463088,0.0,0.16610738255033555,0.007550335570469799,0.0008389261744966443,0.03942953020134228,0.017617449664429533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008389261744966443,0.0,0.12332214765100671,0.0,0.0025167785234899327,0.04530201342281879,0.0,0.0,0.13674496644295306,0.0,0.0,0.0,0.0041946308724832215,0.0,0.0008389261744966443,0.0,0.06208053691275168,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.09815436241610738,0.0,0.0
asd_kang-N03,0.0,0.03578528827037773,0.0,0.0,0.011928429423459242,0.0,0.0,0.02186878727634195,0.0,0.0,0.007952286282306162,0.0,0.0,0.0,0.0,0.3240556660039761,0.005964214711729622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005964214711729622,0.0019880715705765406,0.0,0.0,0.0,0.14910536779324055,0.0,0.0,0.09145129224652088,0.007952286282306162,0.009940357852882702,0.0,0.0,0.0,0.0019880715705765406,0.015904572564612328,0.0,0.0,0.0,0.011928429423459244,0.0,0.0,0.0,0.0,0.007952286282306162,0.0019880715705765406,0.0019880715705765406,0.11133200795228627,0.0,0.0
asd_kang-N04,0.0,0.006459948320413436,0.0,0.001937984496124031,0.016795865633074933,0.0,0.0,0.0,0.0006459948320413437,0.0006459948320413437,0.003875968992248062,0.0071059431524547806,0.0,0.005813953488372093,0.0,0.0006459948320413437,0.002583979328165375,0.07622739018087855,0.0755813953488372,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.008397932816537468,0.0012919896640826874,0.0,0.001937984496124031,0.0,0.04909560723514212,0.0,0.002583979328165375,0.047157622739018086,0.008397932816537468,0.015503875968992248,0.12596899224806202,0.0006459948320413437,0.0,0.001937984496124031,0.014211886304909561,0.0,0.0,0.011627906976744186,0.14857881136950904,0.0,0.0,0.0,0.0,0.0012919896640826874,0.0,0.0,0.09496124031007752,0.0,0.0
asd_kang-N05,0.0,0.00499001996007984,0.005988023952095809,0.03592814371257485,0.04890219560878243,0.000998003992015968,0.0,0.001996007984031936,0.0,0.0,0.003992015968063872,0.0,0.0,0.000998003992015968,0.0,0.005988023952095809,0.0,0.05389221556886228,0.001996007984031936,0.0,0.0,0.0,0.0,0.000998003992015968,0.0,0.0,0.007984031936127744,0.003992015968063872,0.0,0.005988023952095809,0.0,0.08483033932135728,0.0,0.0,0.01896207584830339,0.001996007984031936,0.02594810379241517,0.0,0.00499001996007984,0.000998003992015968,0.001996007984031936,0.03892215568862275,0.0,0.0,0.001996007984031936,0.1377245508982036,0.0,0.023952095808383235,0.0,0.013972055888223553,0.0,0.000998003992015968,0.0029940119760479044,0.0,0.0,0.0
asd_kang-N06,0.0,0.00818926296633303,0.0018198362147406734,0.0018198362147406734,0.015468607825295725,0.0009099181073703367,0.0,0.0018198362147406734,0.0,0.0,0.01091901728844404,0.0009099181073703367,0.0,0.0018198362147406734,0.0,0.0054595086442220195,0.006369426751592357,0.19927206551410373,0.017288444040036398,0.003639672429481347,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0018198362147406734,0.0,0.0,0.0,0.2893539581437671,0.0,0.0,0.13011828935395814,0.00272975432211101,0.0,0.0,0.00272975432211101,0.003639672429481347,0.003639672429481347,0.010009099181073703,0.0,0.0,0.015468607825295723,0.013648771610555051,0.0,0.00272975432211101,0.0,0.0,0.0,0.0009099181073703367,0.003639672429481347,0.009099181073703368,0.0,0.0
asd_kang-N07,0.0,0.006075334143377885,0.0,0.0006075334143377885,0.009113001215066828,0.0,0.0,0.0,0.001215066828675577,0.0,0.0,0.0,0.0,0.0036452004860267314,0.0,0.001215066828675577,0.001215066828675577,0.026123936816524907,0.4993924665856622,0.0,0.0,0.11239368165249089,0.009113001215066828,0.0,0.0,0.0,0.00425273390036452,0.0006075334143377885,0.0,0.0,0.0,0.0528554070473876,0.001215066828675577,0.0,0.013973268529769135,0.0,0.0,0.0,0.001215066828675577,0.0,0.0,0.0,0.0,0.011543134872417983,0.007290400972053463,0.09842041312272176,0.0,0.0,0.0,0.0018226002430133657,0.003037667071688943,0.0,0.0,0.06804374240583233,0.0,0.0006075334143377885
asd_kang-N08,0.0,0.0,0.0,0.0,0.010075566750629721,0.0,0.0,0.0,0.003778337531486146,0.0,0.0012594458438287153,0.0,0.0,0.011335012594458438,0.0,0.013853904282115869,0.0,0.06801007556675064,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37531486146095716,0.0,0.0,0.005037783375314861,0.0012594458438287153,0.0012594458438287153,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.2594458438287154,0.011335012594458438,0.005037783375314861,0.0,0.0012594458438287153,0.031486146095717885,0.0,0.0,0.010075566750629723,0.0,0.0
asd_kang-N09,0.0,0.0,0.0,0.0006369426751592356,0.006369426751592356,0.0,0.0,0.0,0.0070063694267515925,0.0,0.0012738853503184713,0.0,0.0,0.0,0.012101910828025478,0.0006369426751592356,0.0,0.14076433121019108,0.0,0.0,0.012738853503184712,0.001910828025477707,0.0,0.0,0.0,0.0,0.0,0.0006369426751592356,0.0,0.0,0.0,0.5732484076433121,0.0025477707006369425,0.0,0.019745222929936305,0.0031847133757961785,0.0,0.003821656050955414,0.0,0.0,0.0,0.03821656050955414,0.0,0.0,0.0,0.045859872611464965,0.0006369426751592356,0.0006369426751592356,0.0,0.001910828025477707,0.0,0.0,0.0,0.0375796178343949,0.0,0.0
asd_kang-N10,0.0,0.000744047619047619,0.0,0.0,0.03422619047619047,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.012648809523809524,0.0,0.0,0.07068452380952381,0.0,0.0,0.043154761904761904,0.0,0.0,0.0,0.0,0.0,0.000744047619047619,0.001488095238095238,0.0,0.0,0.0,0.3392857142857143,0.05133928571428571,0.004464285714285714,0.017857142857142856,0.000744047619047619,0.0,0.001488095238095238,0.0,0.0,0.0,0.000744047619047619,0.0,0.0,0.000744047619047619,0.171875,0.001488095238095238,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.055059523809523815,0.0,0.0
asd_kang-N11,0.0,0.03861584754262788,0.0005015045135406219,0.0005015045135406219,0.05516549648946841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010030090270812437,0.0,0.04864593781344032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020561685055165493,0.0025075225677031092,0.0005015045135406219,0.014543630892678034,0.0,0.026579739217652956,0.0,0.0,0.027582748244734206,0.0,0.017051153460381142,0.10030090270812438,0.0050150451354062184,0.0,0.0015045135406218655,0.008525576730190571,0.0,0.0,0.0005015045135406219,0.031093279839518557,0.0,0.0,0.0,0.0005015045135406219,0.0,0.0,0.018555667001003008,0.4699097291875627,0.0,0.0
asd_kang-N12,0.0,0.0,0.0,0.0,0.01066350710900474,0.0,0.0,0.0,0.001184834123222749,0.001184834123222749,0.005924170616113744,0.0,0.0,0.0,0.0,0.35663507109004744,0.0,0.04028436018957346,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.0,0.0035545023696682463,0.002369668246445498,0.0,0.0,0.0,0.0,0.0,0.07938388625592417,0.0,0.0,0.030805687203791465,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.004739336492890996,0.002369668246445498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04502369668246445,0.0,0.0
asd_kang-N13,0.0,0.0,0.0,0.0,0.007142857142857143,0.011607142857142858,0.0,0.0,0.0026785714285714286,0.0008928571428571428,0.0,0.0,0.0,0.0,0.0,0.3366071428571429,0.0,0.011607142857142858,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0017857142857142857,0.13035714285714287,0.0,0.0,0.06785714285714285,0.07232142857142856,0.0,0.0,0.0017857142857142857,0.0,0.0017857142857142857,0.0026785714285714286,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0008928571428571428,0.2517857142857143,0.0,0.0
asd_kang-N14,0.0,0.0,0.0006238303181534623,0.0,0.013724266999376171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056144728633811605,0.0,0.0056144728633811605,0.0,0.0056144728633811605,0.0,0.0006238303181534623,0.0,0.0031191515907673115,0.0,0.0,0.0,0.0,0.002495321272613849,0.0006238303181534623,0.0,0.0018714909544603868,0.0,0.004990642545227698,0.0,0.0006238303181534623,0.014971927635683094,0.0018714909544603868,0.0012476606363069245,0.6699937616968185,0.0006238303181534623,0.0,0.0,0.002495321272613849,0.0031191515907673115,0.0,0.0,0.10043668122270742,0.0,0.0,0.0,0.0,0.02994385527136619,0.0,0.0056144728633811605,0.056768558951965066,0.0,0.0
